"avg_gross";"experience"
73055383.2975;1
89246162.8142;2
105327976.0113;3
117789659.8914;4
122895847.2261;5
108759317.7925;6
128734094.0;7
136633661.3333;8
141410346.3902;9
92967706.7536;10
121922835.2234;11
89451920.0;12
95273377.2128;13
94426861.375;14
97862924.9059;15
253781223.5714;16
125683508.8246;17
143552940.5263;18
104410901.2558;19
81388062.3919;20
68858173.1818;21
118154903.8333;22
